algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-,job_and_age-FNR,job_and_age-FNRDiff,job_and_age-FNRRatio,job_and_age-FPR,job_and_age-FPRDiff,job_and_age-FPRRatio,job_and_age-TNR,job_and_age-TNRDiff,job_and_age-TNRRatio,job_and_age-TPR,job_and_age-TPRDiff,job_and_age-TPRRatio,job_and_age-accuracy,job_and_age-accuracyDiff,job_and_age-accuracyRatio,job_and_age-calibration+,job_and_age-calibration+Diff,job_and_age-calibration+Ratio,job_and_age-calibration-,job_and_age-calibration-Diff,job_and_age-calibration-Ratio
SVM,,0,0.5968379446640316,0.9651468621890474,0.03368304803975708,1.0264413551174223,0.9663169519602429,0.9991028778824544,0.4031620553359684,1.056478879946664,0.8972868217054264,0.9951276796288149,0.6257668711656442,1.0529972651341564,0.07943187795896896,1.0657848507307508,0.6183908045977011,0.032815365312228506,0.9671846346877715,0.3816091954022989,0.901680096005486,0.594272076372315,0.0745289988917621,0.6760823257738778,1.0071401920641312,1.09940033486892,1.09940033486892,0.42963166064497454,0.9670555372987184,0.3851091142490372,0.9010196649672251,0.9784471400663305,1.0008676827275287,0.9991323172724714,1.0215528599336694,0.9956067256999404,1.0314947947933293,1.0049028790672068,0.6076143746308664,0.9784471400663305,0.9651468621890474,0.03324920667599279,1.0008676827275287,1.0264413551174223,0.9667507933240072,0.9991323172724714,0.9991028778824544,0.39238562536913363,1.0215528599336694,1.056478879946664,0.8994834588554562,0.9956067256999404,0.9951276796288149,0.6100194737689797,1.0314947947933293,1.0529972651341564,0.07698043842536553,1.0049028790672068,1.0657848507307508
SVM,,1,0.6553030303030303,1.016275038520801,0.0239862935465448,0.9931467732724127,0.9760137064534552,1.0001696143326804,0.3446969696969697,0.9704545454545456,0.8933002481389578,0.9838311936587281,0.6842105263157895,1.063157894736842,0.09192348565356004,1.225052941978679,0.644808743169399,0.024151811385853983,0.975848188614146,0.3551912568306011,0.907981220657277,0.6435643564356436,0.07503633720930232,0.6646350159953149,1.0056549841193185,1.0937031668427388,1.0937031668427388,0.43417330030687973,0.9758719737382027,0.3533980582524272,0.9058266569555717,1.0104942871336313,0.9998344821606908,1.0001655178393092,0.9895057128663687,0.9853190274816808,1.040646169880146,1.0168871484442576,0.6500558867362146,1.0104942871336313,1.016275038520801,0.024069052466199392,0.9998344821606908,0.9931467732724127,0.9759309475338006,1.0001655178393092,1.0001696143326804,0.3499441132637854,0.9895057128663687,0.9704545454545456,0.9006407343981174,0.9853190274816808,0.9838311936587281,0.6638874413757165,1.040646169880146,1.063157894736842,0.08347991143143119,1.0168871484442576,1.225052941978679
SVM,,2,0.5666666666666667,0.8715873015873016,0.027313266443701245,0.9605011053795152,0.9726867335562988,1.0011560843251357,0.43333333333333335,1.2386430678466078,0.9021317829457365,0.9993608754956759,0.7048192771084337,1.1648230088495575,0.08061116965226554,1.0478492398012946,0.6501547987616099,0.028436475804896832,0.9715635241951032,0.3498452012383901,0.9027087262129264,0.6050870147255689,0.0769301218060262,0.6680028470386,1.0163941261759808,1.2560292850990527,1.2560292850990527,0.4282212072711702,0.9717291255752795,0.36427656850192064,0.9026219956300073,0.9165118679050568,0.9988767906388044,1.0011232093611957,1.0834881320949432,0.9994230567328101,1.0997322623828647,1.0036810478462392,0.6084107327141383,0.9165118679050568,0.8715873015873016,0.02787487112429904,0.9988767906388044,0.9605011053795152,0.9721251288757009,1.0011232093611957,1.0011560843251357,0.39158926728586174,1.0834881320949432,1.2386430678466078,0.9024202545793314,0.9994230567328101,0.9993608754956759,0.6549531459170013,1.0997322623828647,1.1648230088495575,0.07877064572914587,1.0036810478462392,1.0478492398012946
SVM,,3,0.6824817518248175,1.039897050757352,0.02763385146804831,1.1054603427660388,0.9723661485319517,0.9972961552983759,0.3175182481751825,0.9238168898341954,0.8831427150671308,0.9769255689892115,0.6444444444444445,1.0143242580328673,0.09968017057569296,1.268300528735349,0.6562974203338392,0.024997596384963017,0.975002403615037,0.34370257966616086,0.9040020479563102,0.635343618513324,0.0785934944575686,0.6569105620374074,1.006289411988649,1.103373939824653,1.103373939824653,0.41738582756616316,0.9746251441753172,0.3391959798994975,0.9009468317552805,1.0261843314909784,1.0026362550830852,0.9973637449169147,0.9738156685090216,0.9791406671108206,1.0091008259311205,1.0210866761181243,0.6693895860793284,1.0261843314909784,1.039897050757352,0.026315723926505663,1.0026362550830852,1.1054603427660388,0.9736842760734943,0.9973637449169147,0.9972961552983759,0.3306104139206717,0.9738156685090216,0.9238168898341954,0.8935723815117205,0.9791406671108206,0.9769255689892115,0.6398940314788842,1.0091008259311205,1.0143242580328673,0.08913683251663078,1.0210866761181243,1.268300528735349
SVM,,4,0.6498054474708171,0.9898199257985704,0.03302961275626426,1.1652175591676022,0.9669703872437357,0.9951800652734927,0.35019455252918286,1.0194552529182879,0.8882265275707899,0.9853579079290803,0.6081081081081081,1.0067567567567568,0.08954423592493298,1.1424178564748426,0.6564885496183206,0.028346305371384606,0.9716536946286154,0.3435114503816794,0.9014252795084066,0.6040268456375839,0.07838133430550492,0.6577925425961261,1.0099392779399552,1.1563201605670523,1.1563201605670523,0.40692448402116405,0.9709775548795527,0.3446075303126994,0.8994901675163874,0.9933168978524965,1.0046833073848798,0.9953166926151203,1.0066831021475036,0.9868012480623833,1.0040812624705242,1.0111629016194281,0.6531469985445688,0.9933168978524965,0.9898199257985704,0.030687959063824433,1.0046833073848798,1.1652175591676022,0.9693120409361755,0.9953166926151203,0.9951800652734927,0.34685300145543113,1.0066831021475036,1.0194552529182879,0.8948259035395982,0.9868012480623833,0.9853579079290803,0.606067476872846,1.0040812624705242,1.0067567567567568,0.08396278511521896,1.0111629016194281,1.1424178564748426
SVM,,5,0.6459143968871595,1.0300553331653741,0.03945111492281306,1.340048655253981,0.9605488850771869,0.9896852806792508,0.3540856031128405,0.9494634115727376,0.882851445663011,0.9779431546629952,0.56875,0.9196320564516128,0.08992416034669556,1.1776399032453344,0.6270676691729323,0.029440061573985044,0.970559938426015,0.37293233082706767,0.9027635619242579,0.6184538653366584,0.0763596410913752,0.6694991438145133,1.0113540307089648,1.1659783741046188,1.1659783741046188,0.4246195564517763,0.9691180103763485,0.369880277252678,0.8998543335761107,1.018846727714227,1.010011053348828,0.989988946651172,0.9811532722857728,0.9800878837387531,0.9502961346633416,1.0135645192553204,0.636491033030046,1.018846727714227,1.0300553331653741,0.03444558824839905,1.010011053348828,1.340048655253981,0.965554411751601,0.989988946651172,0.9896852806792508,0.36350896696995405,0.9811532722857728,0.9494634115727376,0.8928075037936345,0.9800878837387531,0.9779431546629952,0.5936019326683292,0.9502961346633416,0.9196320564516128,0.08314190071903538,1.0135645192553204,1.1776399032453344
SVM,,6,0.6713780918727915,1.03007021993491,0.03452243958573076,1.2627433183682066,0.9654775604142692,0.9926148948518834,0.3286219081272085,0.9437163926870488,0.8762988619495299,0.9712782444686715,0.6078431372549019,0.9831202046035805,0.10171306209850108,1.295335337874639,0.651778955336866,0.027339237581825215,0.9726607624181748,0.34822104466313397,0.9022119736954479,0.6182795698924731,0.07852257181942544,0.6581971489715428,1.0121642304863752,1.1914394822109784,1.1914394822109784,0.4112721422373769,0.9716312056737588,0.34476309226932667,0.8983976693372178,1.0195991365359256,1.0071832020039055,0.9928167979960945,0.9804008634640745,0.974086888254082,0.9895635673624288,1.0231904902790756,0.6615785236048288,1.0195991365359256,1.03007021993491,0.030930838583777986,1.0071832020039055,1.2627433183682066,0.969069161416222,0.9928167979960945,0.9926148948518834,0.33842147639517123,0.9804008634640745,0.9437163926870488,0.889255417822489,0.974086888254082,0.9712782444686715,0.6130613535736875,0.9895635673624288,0.9831202046035805,0.09011781695896326,1.0231904902790756,1.295335337874639
SVM,,7,0.6568265682656826,1.005315866307452,0.033067274800456126,1.1752471845175805,0.9669327251995439,0.9949264150427193,0.34317343173431736,0.9899807476335634,0.8834567901234568,0.9805482389906184,0.6158940397350994,1.0068528649582495,0.09498399146211313,1.1999534699936854,0.6533534287867371,0.02813644247446523,0.9718635575255348,0.346646571213263,0.900982486117044,0.6117021276595744,0.07915639550807997,0.6586041239317033,1.01032185253743,1.1606612818492252,1.1606612818492252,0.4103860945975752,0.9711506758984504,0.3460575719649562,0.8983976693372178,1.0034731394789456,1.004930832325991,0.9950691676740091,0.9965268605210544,0.9824743040064128,1.004191912075525,1.015827595954033,0.6550899985262099,1.0034731394789456,1.005315866307452,0.030601858637460677,1.004930832325991,1.1752471845175805,0.9693981413625393,0.9950691676740091,0.9949264150427193,0.34491000147379014,0.9965268605210544,0.9899807476335634,0.8922196381202504,0.9824743040064128,0.9805482389906184,0.6137980836973369,1.004191912075525,1.0068528649582495,0.08707019348509655,1.015827595954033,1.1999534699936854
SVM,,8,0.6678832116788321,1.0550375953621702,0.03384094754653133,1.2248542959202848,0.9661590524534687,0.9936110855144986,0.33211678832116787,0.9050541915505418,0.8812896922325354,0.9715141983725901,0.6026490066225165,0.9783263094521373,0.09651898734177215,1.3240176770484253,0.6330420969023034,0.027628549501151234,0.9723714504988488,0.3669579030976966,0.9071300179748353,0.616,0.07289856398060916,0.6660994937373251,1.0095706474331845,1.1490851652825271,1.1490851652825271,0.42251010056077676,0.9714683938673444,0.3607305936073059,0.903277494537509,1.0348411147765288,1.00621239804538,0.9937876019546199,0.9651588852234713,0.9741596742577001,0.9866490066225165,1.023620423361163,0.6504626542905678,1.0348411147765288,1.0550375953621702,0.030734748523841282,1.00621239804538,1.2248542959202848,0.9692652514761587,0.9937876019546199,0.9936110855144986,0.34953734570943223,0.9651588852234713,0.9050541915505418,0.8942098551036853,0.9741596742577001,0.9715141983725901,0.6093245033112582,0.9866490066225165,0.9783263094521373,0.08470877566119066,1.023620423361163,1.3240176770484253
SVM,,9,0.5720164609053497,0.9478720829019812,0.03661202185792345,1.3045242133031845,0.9633879781420766,0.9912066093938142,0.4279835390946502,1.079333725259651,0.9006271104679209,0.99343397300573,0.6081871345029239,0.9441381230854915,0.07308096740273397,0.9916693974723926,0.6034743202416919,0.028065421465208518,0.9719345785347915,0.39652567975830816,0.906579737496783,0.6441717791411042,0.07369489024165284,0.6860263226254355,1.0125740736763449,1.1798478243498798,1.1798478243498798,0.458213530673205,0.9706486886458933,0.4014039566049777,0.9056809905316825,0.9685421406636578,1.008546600392715,0.9914533996072851,1.0314578593363422,0.9940473729711379,0.9640153553618197,0.9993860771610812,0.5877453905735208,0.9685421406636578,0.9478720829019812,0.03233872166156598,1.008546600392715,1.3045242133031845,0.967661278338434,0.9914533996072851,0.9912066093938142,0.4122546094264792,1.0314578593363422,1.079333725259651,0.9036034239823519,0.9940473729711379,0.99343397300573,0.626179456822014,0.9640153553618197,0.9441381230854915,0.0733879288221934,0.9993860771610812,0.9916693974723926
