algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,age-FNR,age-FNRDiff,age-FNRRatio,age-FPR,age-FPRDiff,age-FPRRatio,age-TNR,age-TNRDiff,age-TNRRatio,age-TPR,age-TPRDiff,age-TPRRatio,age-accuracy,age-accuracyDiff,age-accuracyRatio,age-calibration+,age-calibration+Diff,age-calibration+Ratio,age-calibration-,age-calibration-Diff,age-calibration-Ratio,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-
SVM,,0,0.625,1.0527073732718892,0.06106870229007633,2.0501881518116316,0.9389312977099237,0.9677577796512039,0.375,0.922979797979798,0.7971428571428572,0.8773358088814205,0.673469387755102,1.0759637188208615,0.18272425249169436,2.61687233032748,0.5937072503419973,0.02978687699278404,0.970213123007216,0.4062927496580027,0.9085949177877429,0.6259220231822972,0.06982543640897755,0.6870281794586578,1.0690732436472348,1.9738672286617494,1.9738672286617494,0.4559455167596483,0.9695402298850575,0.4045161290322581,0.9057538237436271,0.6093536251709987,1.0312927496580027,1.0527073732718892,0.04542778964143018,1.0312818252972922,2.0501881518116316,0.9545722103585699,0.9687181747027077,0.9677577796512039,0.39064637482900133,0.9687072503419973,0.922979797979798,0.8528688874653001,0.8885479393551142,0.8773358088814205,0.6496957054686996,1.0475473645728048,1.0759637188208615,0.12627484445033596,1.112898816082717,2.61687233032748,1.0312927496580027,1.0312818252972922,0.9687181747027077,0.9687072503419973,0.8885479393551142,1.0475473645728048,1.112898816082717
SVM,,1,0.6024096385542168,0.9631785569243264,0.04961832061068705,1.9084705824599333,0.950381679389313,0.975750205892624,0.39759036144578314,1.0614842107642577,0.8173913043478261,0.8979631162750864,0.717391304347826,1.1359817277102537,0.16722408026755853,2.3563563939724173,0.6254392129304287,0.025998996823273668,0.9740010031767263,0.37456078706957135,0.9102726933134105,0.6315165876777251,0.07096722749382027,0.674662388839059,1.070277674013199,2.114533965244866,2.114533965244866,0.44337482767690495,0.9734947643979057,0.3758300132802125,0.9079388201019665,0.6139244257423228,0.9769704256237881,0.9631785569243264,0.03780865871698036,1.0236193237874134,1.9084705824599333,0.9621913412830196,0.9763806762125866,0.975750205892624,0.38607557425767725,1.0230295743762117,1.0614842107642577,0.8638319988306183,0.9071186110344156,0.8979631162750864,0.6744539460127756,1.085874716670101,1.1359817277102537,0.1190956538806894,1.0962568527737382,2.3563563939724173,0.9769704256237881,1.0236193237874134,0.9763806762125866,1.0230295743762117,0.9071186110344156,1.085874716670101,1.0962568527737382
SVM,,2,0.5555555555555556,0.924644367550942,0.06498194945848379,2.210126816625009,0.9350180505415162,0.9633421495956348,0.4444444444444444,1.1134259259259258,0.833810888252149,0.9173085172820855,0.64,1.03,0.13377926421404682,1.9216689233238053,0.6008316008316008,0.029401909867649567,0.9705980901323504,0.3991683991683992,0.9089754128988865,0.6213592233009708,0.06961618757025854,0.6855556861457738,1.0739891421120782,2.0680137115444652,2.0680137115444652,0.4522763237156073,0.9697912402783463,0.4013201320132013,0.9070648215586308,0.5781935781935782,0.9547239547239548,0.924644367550942,0.04719192966306668,1.0355800395908341,2.210126816625009,0.9528080703369333,0.9644199604091658,0.9633421495956348,0.4218064218064218,1.0452760452760452,1.1134259259259258,0.8713931505755177,0.9248354753532625,0.9173085172820855,0.6306796116504854,1.018640776699029,1.03,0.10169772589215267,1.0641630766437882,1.9216689233238053,0.9547239547239548,1.0355800395908341,0.9644199604091658,1.0452760452760452,0.9248354753532625,1.018640776699029,1.0641630766437882
SVM,,3,0.5662650602409638,0.9309571253249581,0.06666666666666665,2.4034447821681897,0.9333333333333333,0.9599606890970054,0.43373493975903615,1.107204327514138,0.8206521739130435,0.9047487085665089,0.6545454545454545,1.0207792207792208,0.1501597444089457,2.046810535782398,0.6082611592271818,0.027737964758452027,0.972262035241548,0.3917388407728181,0.9070498428378985,0.6412213740458015,0.07336279630373645,0.682643993034245,1.0808290707587382,2.1777950310559,2.1777950310559,0.45499349183779547,0.971348592129096,0.3939393939393939,0.9047341587764021,0.5872631097340728,0.958003901013782,0.9309571253249581,0.04720231571255934,1.0389287019082145,2.4034447821681897,0.9527976842874406,0.9610712980917854,0.9599606890970054,0.41273689026592714,1.041996098986218,1.107204327514138,0.8638510083754709,0.913602331075145,0.9047487085665089,0.647883414295628,1.013324080499653,1.0207792207792208,0.11176127035634106,1.0767969481052093,2.046810535782398,0.958003901013782,1.0389287019082145,0.9610712980917854,1.041996098986218,0.913602331075145,1.013324080499653,1.0767969481052093
SVM,,4,0.5632183908045977,0.891918381894324,0.0625,2.1758381924198273,0.9375,0.9652256854630108,0.4367816091954023,1.1851948788414144,0.8161559888579387,0.9000265341871752,0.6909090909090909,1.1405899603243057,0.1611842105263158,2.23141064871481,0.6314685314685315,0.02872456243195709,0.9712754375680429,0.3685314685314685,0.9068132525615137,0.6057471264367816,0.07223422126229902,0.6714844146589208,1.0881371545995377,2.3545768898280666,2.3545768898280666,0.4289413973137931,0.9705232129697863,0.3724456163480554,0.9044428259286235,0.5973434611365647,0.9317498593360661,0.891918381894324,0.045612281215978545,1.033775437568043,2.1758381924198273,0.9543877187840215,0.9662245624319571,0.9652256854630108,0.40265653886343544,1.0682501406639338,1.1851948788414144,0.8614846207097262,0.909342736296425,0.9000265341871752,0.6483281086729362,1.0851619644723094,1.1405899603243057,0.11670921589430741,1.0889499892640169,2.23141064871481,0.9317498593360661,1.033775437568043,0.9662245624319571,1.0682501406639338,0.909342736296425,1.0851619644723094,1.0889499892640169
SVM,,5,0.5875,0.9815789473684211,0.0826446280991735,2.571262110782639,0.9173553719008265,0.9478198744099756,0.4125,1.0274624373956593,0.7919254658385093,0.8752173298683427,0.6226415094339622,1.02075786688506,0.17472118959107807,2.431226765799257,0.5985254691689008,0.032141658274588814,0.9678583417254112,0.4014745308310992,0.9048329355608592,0.609979633401222,0.07186544342507645,0.6844443621243115,1.0913564164900162,2.2473592996926035,2.2473592996926035,0.44490388006902526,0.9668531008389538,0.4020356234096692,0.9021849963583394,0.5930127345844505,0.9889745308310992,0.9815789473684211,0.05739314318688116,1.0505029698245847,2.571262110782639,0.9426068568131188,0.9494970301754153,0.9478198744099756,0.4069872654155496,1.0110254691689007,1.0274624373956593,0.8483792006996842,0.8870925302776501,0.8752173298683427,0.616310571417592,1.0126618760327402,1.02075786688506,0.12329331650807726,1.1028557461660016,2.431226765799257,0.9889745308310992,1.0505029698245847,0.9494970301754153,1.0110254691689007,0.8870925302776501,1.0126618760327402,1.1028557461660016
SVM,,6,0.5764705882352941,0.955943560337607,0.049180327868852514,1.6239071038251378,0.9508196721311475,0.9805147430053743,0.4235294117647059,1.066927669570324,0.8145896656534954,0.90009202749196,0.75,1.1992512479201332,0.17437722419928825,2.3759613023429855,0.6030383091149274,0.03028518549676118,0.9697148145032388,0.39696169088507266,0.9050070890232073,0.6253902185223725,0.07339228295819936,0.6838543729596888,1.0741855901966215,2.034506861836549,2.034506861836549,0.4520331482807297,0.9693347621795401,0.3983739837398374,0.9028404952658412,0.5897544486751107,0.9734322791203667,0.955943560337607,0.03973275668280685,1.0188951423720913,1.6239071038251378,0.9602672433171932,0.9811048576279087,0.9805147430053743,0.41024555132488927,1.0265677208796333,1.066927669570324,0.8597983773383513,0.9095825766302882,0.90009202749196,0.6876951092611863,1.1246097814776275,1.1992512479201332,0.1238847535787438,1.1009849412410888,2.3759613023429855,0.9734322791203667,1.0188951423720913,0.9811048576279087,1.0265677208796333,0.9095825766302882,1.1246097814776275,1.1009849412410888
SVM,,7,0.46153846153846156,0.7383603238866397,0.04693140794223827,1.710197727950187,0.9530685920577617,0.979960768225066,0.5384615384615384,1.4362255660244692,0.8619718309859155,0.9499730751018968,0.7636363636363637,1.2201429283696195,0.12,1.6448684210526316,0.6250856751199452,0.027442094662638472,0.9725579053373615,0.37491432488005483,0.9073644859813084,0.6258581235697941,0.07295416366690664,0.6776646006932208,1.0895837830722654,2.370918877107036,2.370918877107036,0.4460600355582768,0.9721151480357583,0.38321405335068315,0.906190823015295,0.5433120683292034,0.8364527864185164,0.7383603238866397,0.03718675130243837,1.0194893132795997,1.710197727950187,0.9628132486975616,0.9805106867204002,0.979960768225066,0.45668793167079663,1.1635472135814835,1.4362255660244692,0.8846681584836119,0.9546073450046071,0.9499730751018968,0.6947472436030788,1.1377782400665697,1.2201429283696195,0.09647708183345333,1.0470458363330934,1.6448684210526316,0.8364527864185164,1.0194893132795997,0.9805106867204002,1.1635472135814835,0.9546073450046071,1.1377782400665697,1.0470458363330934
SVM,,8,0.5432098765432098,0.8938050653188608,0.057613168724279795,1.9930816484761715,0.9423868312757202,0.970438898298164,0.4567901234567901,1.1645377324175707,0.8209876543209876,0.9045911476803781,0.7254901960784313,1.159275495293438,0.16117216117216118,2.2506412305070027,0.6077498300475868,0.028906577293674074,0.9710934227063259,0.3922501699524133,0.9075786961062211,0.6258134490238612,0.07161166292854854,0.6830695838193938,1.0886322321127633,2.2887241905680082,2.2887241905680082,0.4518032340586384,0.9705206109377567,0.3956185567010309,0.9055353241077931,0.5754798532953983,0.9354600464956231,0.8938050653188608,0.043259873008976935,1.0287065914306057,1.9930816484761715,0.9567401269910231,0.9712934085693943,0.970438898298164,0.4245201467046017,1.0645399535043767,1.1645377324175707,0.8642831752136044,0.9134089582147665,0.9045911476803781,0.6756518225511463,1.0996767470545703,1.159275495293438,0.11639191205035486,1.0895604982436127,2.2506412305070027,0.9354600464956231,1.0287065914306057,0.9712934085693943,1.0645399535043767,0.9134089582147665,1.0996767470545703,1.0895604982436127
SVM,,9,0.5955056179775281,0.949328761126514,0.06521739130434778,2.1190306486101176,0.9347826086956522,0.9644659710748479,0.4044943820224719,1.0852827408362498,0.8054794520547945,0.8915306730196546,0.6666666666666666,1.1111111111111112,0.17041800643086816,2.296216645091243,0.6272912423625254,0.030776992936427883,0.9692230070635721,0.3727087576374745,0.9034792368125701,0.6,0.07421686746987952,0.6714808304732465,1.079482803683717,2.1609701324949473,2.1609701324949473,0.4251982282554951,0.9684418145956607,0.37451984635083224,0.9008739985433357,0.6113984301700268,0.9682143756150027,0.949328761126514,0.04799719212038783,1.03444039836792,2.1190306486101176,0.9520028078796121,0.9655596016320801,0.9644659710748479,0.3886015698299732,1.0317856243849974,1.0852827408362498,0.8544793444336823,0.9020002152422244,0.8915306730196546,0.6333333333333333,1.0666666666666667,1.1111111111111112,0.12231743695037384,1.0962011389609887,2.296216645091243,0.9682143756150027,1.03444039836792,0.9655596016320801,1.0317856243849974,0.9020002152422244,1.0666666666666667,1.0962011389609887
GaussianNB,,0,0.2727272727272727,0.5584415584415584,0.30916030534351147,3.7829286643572604,0.6908396946564885,0.7523234174813623,0.7272727272727273,1.421487603305785,0.7,0.8010605542251111,0.4413793103448276,1.0161165406601513,0.11707317073170732,1.91153924984628,0.4883720930232558,0.0817251216647088,0.9182748783352912,0.5116279069767442,0.8738415545590433,0.4343786295005807,0.06124549665465775,0.7186267810795064,1.2855861627162075,3.21901443504231,3.21901443504231,0.40369505096175645,0.9133825944170771,0.5238709677419355,0.8694100509832483,0.38054968287526425,0.7843551797040169,0.5584415584415584,0.19544271350411013,1.2274351836788027,3.7829286643572604,0.8045572864958899,0.7725648163211973,0.7523234174813623,0.6194503171247357,1.215644820295983,1.421487603305785,0.7869207772795217,0.8261584454409566,0.8010605542251111,0.43787896992270414,1.0070006808442469,1.0161165406601513,0.08915933369318253,1.0558276740770496,1.91153924984628,0.7843551797040169,1.2274351836788027,0.7725648163211973,1.215644820295983,0.8261584454409566,1.0070006808442469,1.0558276740770496
