algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-,job-FNR,job-FNRDiff,job-FNRRatio,job-FPR,job-FPRDiff,job-FPRRatio,job-TNR,job-TNRDiff,job-TNRRatio,job-TPR,job-TPRDiff,job-TPRRatio,job-accuracy,job-accuracyDiff,job-accuracyRatio,job-calibration+,job-calibration+Diff,job-calibration+Ratio,job-calibration-,job-calibration-Diff,job-calibration-Ratio
SVM,,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8898203592814371,1.0162627786485012,1.0,1.0,0.11017964071856287,0.8855530318672998,1.0,0.0,1.0,0.0,0.8755809796210225,1.0,0.12441902037897748,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8818923760865238,1.0,1.0,1.0,1.0,1.0142393796604146,1.0,0.9857606203395854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8827006694512298,1.0142393796604146,1.0162627786485012,1.0,1.0,1.0,0.11729933054877018,0.9857606203395854,0.8855530318672998
SVM,,1,1.0,1.0,0.0,0.0,1.0,1.0001352082206598,0.0,1.0,0.8837699488105992,1.00720617881619,1.0,0.0,0.11623005118940079,0.9492120847134398,1.0,0.0001351899418683411,0.9998648100581317,0.0,0.877446909479179,0.0,0.12244897959183673,0.49996231250471096,0.9998813619646458,1.0,0.0,-0.0030038294846505493,0.9999246250094219,0.0,0.8802335611439188,1.0,0.9998648100581317,1.0001351899418682,1.0,1.0063230393314202,2.0,0.993781071597564,1.0,1.0,1.0,6.759497093417055e-05,0.9998648100581317,1.0,0.9999324050290659,1.0001351899418682,1.0001352082206598,1.0,1.0,1.0,0.8806084291448891,1.0063230393314202,1.00720617881619,0.5,2.0,1.0,0.11933951539061877,0.993781071597564,0.9492120847134398
SVM,,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8869499241274659,1.0139132371647173,1.0,1.0,0.11305007587253414,0.9028038544961977,1.0,0.0,1.0,0.0,0.874778917580474,1.0,0.125221082419526,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8801008559485104,1.0,1.0,1.0,1.0,1.0121710065469918,1.0,0.9878289934530081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88086442085397,1.0121710065469918,1.0139132371647173,1.0,1.0,1.0,0.11913557914603007,0.9878289934530081,0.9028038544961977
SVM,,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8885697006350166,1.0116631607795281,1.0,1.0,0.11143029936498337,0.9158076207285368,1.0,0.0,1.0,0.0,0.8783256473926925,1.0,0.12167435260730755,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8828213124543826,1.0,1.0,1.0,1.0,1.010244053242324,1.0,0.9897559467576759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8834476740138546,1.010244053242324,1.0116631607795281,1.0,1.0,1.0,0.11655232598614546,0.9897559467576759,0.9158076207285368
SVM,,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8902072694502854,1.010703611050641,1.0,1.0,0.10979273054971463,0.9209234716996502,1.0,0.0,1.0,0.0,0.8807797456317604,1.0,0.11922025436823963,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.884944595580917,1.0,1.0,1.0,1.0,1.009427523818525,1.0,0.990572476181475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8854935075410229,1.009427523818525,1.010703611050641,1.0,1.0,1.0,0.11450649245897712,0.990572476181475,0.9209234716996502
SVM,,5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.890728476821192,1.0143471451584034,1.0,1.0,0.10927152317880795,0.8966223231040065,1.0,0.0,1.0,0.0,0.8781298208140501,1.0,0.12187017918594992,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8836838962245371,1.0,1.0,1.0,1.0,1.012598656007142,1.0,0.9874013439928581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.884429148817621,1.012598656007142,1.0143471451584034,1.0,1.0,1.0,0.11557085118237893,0.9874013439928581,0.8966223231040065
SVM,,6,1.0,1.0,0.0,0.0,1.0,1.000137230684781,0.0,1.0,0.8892348754448398,1.0161463987689285,1.0,0.0,0.11076512455516015,0.8876135005257587,1.0,0.00013721185510429112,0.9998627881448957,0.0,0.8751050798606941,0.0,0.12478981503723277,0.4999623635679338,0.9998799087306353,1.0,0.0,-0.00298678059964327,0.9999247271358676,0.0,0.8814279079025944,1.0,0.9998627881448957,1.0001372118551042,1.0,1.0141297955841457,2.0,0.9859753095179273,1.0,1.0,1.0,6.860592755214556e-05,0.9998627881448957,1.0,0.9999313940724479,1.0001372118551042,1.000137230684781,1.0,1.0,1.0,0.882169977652767,1.0141297955841457,1.0161463987689285,0.5,2.0,1.0,0.11777746979619647,0.9859753095179273,0.8876135005257587
SVM,,7,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8937073540561031,1.0193868298990083,1.0,1.0,0.1062926459438969,0.862140159828201,1.0,0.0,1.0,0.0,0.8767107126002831,1.0,0.12328928739971685,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8841483644084666,1.0,1.0,1.0,1.0,1.01699664145582,1.0,0.9830033585441801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8852090333281931,1.01699664145582,1.0193868298990083,1.0,1.0,1.0,0.11479096667180688,0.9830033585441801,0.862140159828201
SVM,,8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8828195151152349,1.0027041581778644,1.0,1.0,0.11718048488476504,0.980086827216644,1.0,0.0,1.0,0.0,0.8804386696864942,1.0,0.11956133031350578,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.8814942605002986,1.0,1.0,1.0,1.0,1.0023808454287408,1.0,0.9976191545712593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8816290924008645,1.0023808454287408,1.0027041581778644,1.0,1.0,1.0,0.1183709075991354,0.9976191545712593,0.980086827216644
SVM,,9,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8872578692493946,1.012795164210632,1.0,1.0,0.11274213075060532,0.9095678289250456,1.0,0.0,1.0,0.0,0.8760486825002954,1.0,0.1239513174997046,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.880963439718665,1.0,1.0,1.0,1.0,1.0112091867490993,1.0,0.9887908132509007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881653275874845,1.0112091867490993,1.012795164210632,1.0,1.0,1.0,0.11834672412515496,0.9887908132509007,0.9095678289250456
GaussianNB,,0,0.5027173913043479,0.9719202898550727,0.08765141318977121,0.945631325558369,0.9123485868102288,1.0055543155257651,0.49728260869565216,1.030085403726708,0.8666167664670659,1.0141954375767295,0.41262683201803835,0.9701642776614592,0.06387018815812187,0.8523121775322706,0.5172413793103448,0.09269089424254795,0.907309105757452,0.4827586206896552,0.854486950303897,0.4253164556962025,0.0749375520399667,0.6991634535154734,0.9915616924891726,0.9402482377018115,0.9402482377018115,0.37331773893944536,0.9095628620871267,0.4887640449438202,0.8598633136487294,0.9854760119940031,0.9949605189472233,1.0050394810527767,1.014523988005997,1.0121298161631689,0.9873103763218358,0.9889326361181552,0.5099793853073463,0.9854760119940031,0.9719202898550727,0.09017115371615958,0.9949605189472233,0.945631325558369,0.9098288462838404,1.0050394810527767,1.0055543155257651,0.4900206146926537,1.014523988005997,1.030085403726708,0.8605518583854814,1.0121298161631689,1.0141954375767295,0.41897164385712043,0.9873103763218358,0.9701642776614592,0.06940387009904428,0.9889326361181552,0.8523121775322706
