algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,age-FNR,age-FNRDiff,age-FNRRatio,age-FPR,age-FPRDiff,age-FPRRatio,age-TNR,age-TNRDiff,age-TNRRatio,age-TPR,age-TPRDiff,age-TPRRatio,age-accuracy,age-accuracyDiff,age-accuracyRatio,age-calibration+,age-calibration+Diff,age-calibration+Ratio,age-calibration-,age-calibration-Diff,age-calibration-Ratio,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-
SVM,,0,0.5260869565217392,0.8514474682858073,0.10116731517509725,3.967931475726638,0.8988326848249028,0.9223491150336667,0.47391304347826085,1.2401998597475454,0.7674731182795699,0.8384995720998228,0.6770186335403726,1.0837757964335804,0.20754716981132076,3.155131040323719,0.6178736517719569,0.02549623545516766,0.9745037645448323,0.38212634822804314,0.915293392884645,0.6246851385390428,0.06578083989501313,0.6836292930263771,1.155255080326373,3.5392222583353647,3.5392222583353647,0.45401165841355845,0.9713161776757908,0.3959424083769634,0.9072833211944646,0.5719803041468481,0.9082133047497823,0.8514474682858073,0.06333177531513245,1.0756710797199296,3.967931475726638,0.9366682246848675,0.9243289202800704,0.9223491150336667,0.428019695853152,1.0917866952502178,1.2401998597475454,0.8413832555821075,0.8521797253949249,0.8384995720998228,0.6508518860397077,1.0523334950013297,1.0837757964335804,0.13666400485316693,1.1417663299163077,3.155131040323719,0.9082133047497823,1.0756710797199296,0.9243289202800704,1.0917866952502178,0.8521797253949249,1.0523334950013297,1.1417663299163077
SVM,,1,0.5311203319502075,0.8140415741512864,0.11530815109343939,5.362744169901221,0.8846918489065606,0.9041322348434679,0.46887966804979253,1.3490946812523574,0.75,0.8178955324151831,0.6608187134502924,1.0392876129718236,0.22338568935427575,3.324822838887973,0.6524486571879937,0.02150170648464167,0.9784982935153583,0.34755134281200634,0.9169875250269521,0.6358381502890174,0.0671872458109647,0.6707960956263934,1.1765505532012142,4.313129311952266,4.313129311952266,0.43995617531307857,0.9746379775832447,0.3669542136695421,0.9079388201019665,0.5917844945691006,0.8786716747622138,0.8140415741512864,0.06840492878904053,1.0938064446087976,5.362744169901221,0.9315950712109595,0.9061935553912023,0.9041322348434679,0.40821550543089946,1.1213283252377861,1.3490946812523574,0.8334937625134761,0.8330124749730479,0.8178955324151831,0.6483284318696549,1.0249805631612752,1.0392876129718236,0.14528646758262023,1.156198443543311,3.324822838887973,0.8786716747622138,1.0938064446087976,0.9061935553912023,1.1213283252377861,0.8330124749730479,1.0249805631612752,1.156198443543311
SVM,,2,0.5696202531645569,0.9018402035305685,0.09404990403071012,3.4676822659651134,0.9059500959692899,0.9312061139467998,0.43037974683544306,1.1683035833757058,0.7572559366754618,0.8293755496921724,0.6754966887417219,1.1282080002240176,0.22240527182866557,3.3407410868271317,0.631619937694704,0.027121834360027353,0.9728781656399726,0.36838006230529596,0.9130434782608695,0.5987341772151898,0.06657363322935479,0.6740314387447335,1.1383080424083698,3.2710530710397117,3.2710530710397117,0.43236372989980637,0.9700221148333197,0.3780407626561473,0.9044428259286235,0.6006200954296305,0.9380003154698529,0.9018402035305685,0.060585869195368736,1.0669280696706829,3.4676822659651134,0.9394141308046313,0.9330719303293172,0.9312061139467998,0.39937990457036954,1.0619996845301471,1.1683035833757058,0.8351497074681656,0.8442124584145922,0.8293755496921724,0.6371154329784559,1.076762511526532,1.1282080002240176,0.1444894525290102,1.1558316385993108,3.3407410868271317,0.9380003154698529,1.0669280696706829,0.9330719303293172,1.0619996845301471,0.8442124584145922,1.076762511526532,1.1558316385993108
SVM,,3,0.5783132530120482,0.9019181418816058,0.13157894736842102,5.8299979987992865,0.868421052631579,0.8884732683332563,0.42168674698795183,1.1752817722502915,0.7259923175416133,0.7929881501346563,0.6,0.9393548387096775,0.2376237623762376,3.4945848375451267,0.6412037037037037,0.022569295460396432,0.9774307045396036,0.3587962962962963,0.9155147115607383,0.6387362637362637,0.06799770886179526,0.670801678014111,1.167851145372929,3.985583078892938,3.985583078892938,0.4355045681355979,0.9726713171932704,0.36893203883495146,0.9047341587764021,0.609758478357876,0.9371095493083444,0.9019181418816058,0.07707412141440872,1.1090096519080246,5.8299979987992865,0.9229258785855913,0.8909903480919754,0.8884732683332563,0.39024152164212406,1.0628904506916554,1.1752817722502915,0.8207535145511757,0.810477605980875,0.7929881501346563,0.6193681318681319,0.9612637362637363,0.9393548387096775,0.15281073561901642,1.1696260535144423,3.4945848375451267,0.9371095493083444,1.1090096519080246,0.8909903480919754,1.0628904506916554,0.810477605980875,0.9612637362637363,1.1696260535144423
SVM,,4,0.5648535564853556,0.9132030470942606,0.09920634920634919,3.2523519707508464,0.9007936507936508,0.9291350153259124,0.4351464435146444,1.140742469452733,0.7510094212651414,0.8253667897072345,0.6753246753246753,1.1542401821286286,0.22920203735144312,3.4152229865302868,0.6185410334346504,0.03050295604489761,0.9694970439551024,0.38145896656534956,0.9099099099099099,0.585081585081585,0.06711188061670377,0.6781817941726035,1.1412017670429515,3.1372812920592197,3.1372812920592197,0.43220853457015657,0.966652977412731,0.3897106109324759,0.9013109978150037,0.591697294960003,0.9463125230507052,0.9132030470942606,0.0648546526256234,1.0687033931614516,3.2523519707508464,0.9351453473743766,0.9312966068385484,0.9291350153259124,0.408302705039997,1.0536874769492948,1.140742469452733,0.8304596655875256,0.8410995113552314,0.8253667897072345,0.6302031302031301,1.0902430902430904,1.1542401821286286,0.14815695898407344,1.1620901567347395,3.4152229865302868,0.9463125230507052,1.0687033931614516,0.9312966068385484,1.0536874769492948,0.8410995113552314,1.0902430902430904,1.1620901567347395
SVM,,5,0.5701754385964912,0.8957937011202706,0.11867704280155644,4.865342344187327,0.8813229571984436,0.9033579640237401,0.4298245614035088,1.1824709452957287,0.7425876010781671,0.8123244136109858,0.6163522012578616,0.9869437146723987,0.22298456260720412,3.2853954411126494,0.6365030674846626,0.02439233139335839,0.9756076686066416,0.36349693251533743,0.9141515244841392,0.6245059288537549,0.06787145310327909,0.6725014202131325,1.1558471556161731,3.6668548842461886,3.6668548842461886,0.4348771233035367,0.971634694212166,0.3733681462140992,0.9048798252002913,0.6033392530405769,0.9336723711118287,0.8957937011202706,0.07153468709745742,1.0942847114081982,4.865342344187327,0.9284653129025426,0.905715288591802,0.9033579640237401,0.3966607469594231,1.0663276288881713,1.1824709452957287,0.8283695627811531,0.828436076594028,0.8123244136109858,0.6204290650558082,0.9918462724041067,0.9869437146723987,0.1454280078552416,1.155113109503925,3.2853954411126494,0.9336723711118287,1.0942847114081982,0.905715288591802,1.0663276288881713,0.828436076594028,0.9918462724041067,1.155113109503925
SVM,,6,0.5745614035087719,0.8984427715924427,0.09073359073359077,3.292051368138325,0.9092664092664092,0.9350373611002076,0.42543859649122806,1.180161223955411,0.7613941018766756,0.8356670345534029,0.6736111111111112,1.1360903814262024,0.21760797342192692,3.189055312420138,0.6395080707148347,0.02756141402037149,0.9724385859796285,0.36049192928516527,0.9111213801601972,0.5929203539823009,0.0682358730419093,0.6699665816668257,1.1321083569136028,3.1685144199320097,3.1685144199320097,0.4244915420980153,0.9697565773297271,0.3701765860039241,0.9029861616897306,0.6070347371118033,0.9350533327939372,0.8984427715924427,0.05914750237698113,1.0631721767132194,3.292051368138325,0.9408524976230188,0.9368278232867807,0.9350373611002076,0.39296526288819666,1.0649466672060628,1.180161223955411,0.8362577410184364,0.8502727217164784,0.8356670345534029,0.633265732546706,1.0806907571288102,1.1360903814262024,0.1429219232319181,1.1493721003800177,3.189055312420138,0.9350533327939372,1.0631721767132194,0.9368278232867807,1.0649466672060628,0.8502727217164784,1.0806907571288102,1.1493721003800177
SVM,,7,0.5391705069124424,0.8594247959580257,0.11576846307385225,5.068230580038415,0.8842315369261478,0.904901281310606,0.4608294930875576,1.2366681934175228,0.7562674094707521,0.8258960580808582,0.6329113924050633,0.9756849051274811,0.20892857142857144,3.0840877796901895,0.6273620559334845,0.022841988194028606,0.9771580118059714,0.3726379440665155,0.9156932062711344,0.6486842105263158,0.06774404178909565,0.6792018686809499,1.161648086574467,3.7675853980354788,3.7675853980354788,0.4527984561046197,0.9733388022969647,0.38506493506493505,0.9073561544064094,0.5832662814229634,0.9118084509789579,0.8594247959580257,0.06930522563394043,1.0929264748798238,5.068230580038415,0.9306947743660596,0.9070735251201764,0.904901281310606,0.41673371857703656,1.088191549021042,1.2366681934175228,0.8359803078709432,0.8405742031996177,0.8258960580808582,0.6407978014656895,0.9842271818787476,0.9756849051274811,0.13833630660883356,1.1411845296394758,3.0840877796901895,0.9118084509789579,1.0929264748798238,0.9070735251201764,1.088191549021042,0.8405742031996177,0.9842271818787476,1.1411845296394758
SVM,,8,0.5619834710743802,0.8867748776185663,0.12022900763358779,4.143276570757494,0.8797709923664122,0.9060629990348337,0.4380165289256198,1.1959123486848873,0.7402088772845953,0.8137778057257032,0.6272189349112426,1.0670529598075083,0.22780569514237856,3.3171131436559294,0.6337386018237082,0.029017857142857095,0.9709821428571429,0.3662613981762918,0.9095958037642703,0.5878048780487805,0.06867588932806325,0.6722312346313875,1.1573745491632583,3.4880532382347322,3.4880532382347322,0.4225778268126918,0.9670555372987184,0.3774069319640565,0.9001456664238893,0.5978610364490442,0.928244869250672,0.8867748776185663,0.07462343238822244,1.0912111504907307,4.143276570757494,0.9253765676117776,0.9087888495092693,0.9060629990348337,0.4021389635509558,1.071755130749328,1.1959123486848873,0.8249023405244328,0.830613073520325,0.8137778057257032,0.6075119064800115,1.0394140568624621,1.0670529598075083,0.1482407922352209,1.1591298058143154,3.3171131436559294,0.928244869250672,1.0912111504907307,0.9087888495092693,1.071755130749328,0.830613073520325,1.0394140568624621,1.1591298058143154
SVM,,9,0.5533596837944664,0.8853754940711462,0.12007874015748032,4.318745276809447,0.8799212598425197,0.9050863534257615,0.44664031620553357,1.1910408432147561,0.735873850197109,0.8087067166516657,0.6494252873563219,1.0631617130290871,0.23850085178875638,3.426227029424513,0.625,0.027804080227253114,0.9721959197727469,0.375,0.9099390855116046,0.6108433734939759,0.06961034681604746,0.6773113658990911,1.1646477514509734,3.5726707091176793,3.5726707091176793,0.4376552546918129,0.9683298969072165,0.3862928348909657,0.9002913328477786,0.5891798418972332,0.9283596837944664,0.8853754940711462,0.07394141019236672,1.092274659930227,4.318745276809447,0.9260585898076332,0.9077253400697728,0.9050863534257615,0.4108201581027668,1.0716403162055337,1.1910408432147561,0.8229064678543568,0.8259347646855044,0.8087067166516657,0.6301343304251489,1.038581913862346,1.0631617130290871,0.15405559930240192,1.168890504972709,3.426227029424513,0.9283596837944664,1.092274659930227,0.9077253400697728,1.0716403162055337,0.8259347646855044,1.038581913862346,1.168890504972709
